00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Mon Aug  5 00:50:03 2024
00262  0.17776 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:14:04 2024
00263  0.17898 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:14:09 2024
00264  0.17912 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:14:14 2024
00265  0.18073 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:14:19 2024
00266  0.17830 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:14:24 2024
00267  0.17984 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:14:30 2024
00268  0.17859 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:14:35 2024
00269  0.17845 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:14:40 2024
00270  0.18021 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:14:45 2024
00271  0.17920 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:14:50 2024
00272  0.17907 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:14:56 2024
00273  0.17920 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:15:01 2024
00274  0.18008 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:15:06 2024
00275  0.18115 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:15:11 2024
00276  0.17784 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:15:16 2024
00277  0.18010 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:15:21 2024
00278  0.17911 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:15:27 2024
00279  0.17907 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:15:32 2024
00280  0.17919 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:15:37 2024
00281  0.17996 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:15:42 2024
00282  0.17901 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:15:48 2024
00283  0.17879 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:15:53 2024
00284  0.17893 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:15:58 2024
00285  0.17953 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:16:03 2024
00286  0.17919 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:16:08 2024
00287  0.17894 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:16:13 2024
00288  0.17914 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:16:19 2024
00289  0.17810 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:16:24 2024
00290  0.17898 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:16:29 2024
00291  0.17936 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:16:35 2024
00292  0.17959 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:16:40 2024
00293  0.17925 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:16:45 2024
00294  0.17888 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:16:50 2024
00295  0.17873 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:16:55 2024
00296  0.17951 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:17:01 2024
00297  0.18062 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:17:06 2024
00298  0.17991 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:17:11 2024
00299  0.17914 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:17:16 2024
00300  0.17840 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:17:21 2024
00301  0.17910 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:17:26 2024
00302  0.17865 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:17:32 2024
00303  0.17937 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:17:37 2024
00304  0.17926 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:17:42 2024
00305  0.17801 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:17:47 2024
00306  0.17977 0.00000 0.00000 1654784  0         0       : Mon Aug  5 01:17:52 2024
