#step,residue,       energy,           # of electrons
 139  0.000004708596 -44.478731994990 50.000000
 140  0.000004688157 -44.480467924046 50.000000
 141  0.000004663085 -44.482203515977 50.000000
 142  0.000004633512 -44.483935043965 50.000000
 143  0.000004599591 -44.485658809312 50.000000
 144  0.000004561498 -44.487371176760 50.000000
 145  0.000004519425 -44.489068608321 50.000000
 146  0.000004473581 -44.490747694931 50.000000
 147  0.000004424189 -44.492405185342 50.000000
 148  0.000004371481 -44.494038011761 50.000000
 149  0.000004315697 -44.495643311860 50.000000
 150  0.000004257082 -44.497218446905 50.000000
 151  0.000004195886 -44.498761015873 50.000000
 152  0.000004132356 -44.500268865546 50.000000
 153  0.000004066741 -44.501740096663 50.000000
 154  0.000003999283 -44.503173066326 50.000000
 155  0.000003930222 -44.504566386917 50.000000
 156  0.000003859788 -44.505918921843 50.000000
 157  0.000003788208 -44.507229778480 50.000000
 158  0.000003715695 -44.508498298711 50.000000
 159  0.000003642456 -44.509724047452 50.000000
 160  0.000003568685 -44.510906799574 50.000000
 161  0.000003494568 -44.512046525609 50.000000
 162  0.000003420278 -44.513143376607 50.000000
 163  0.000003345978 -44.514197668467 50.000000
 164  0.000003271819 -44.515209866067 50.000000
 165  0.000003197941 -44.516180567434 50.000000
 166  0.000003124474 -44.517110488198 50.000000
 167  0.000003051537 -44.518000446511 50.000000
 168  0.000002979239 -44.518851348582 50.000000
 169  0.000002907678 -44.519664174951 50.000000
 170  0.000002836943 -44.520439967594 50.000000
 171  0.000002767116 -44.521179817899 50.000000
 172  0.000002698267 -44.521884855582 50.000000
 173  0.000002630460 -44.522556238517 50.000000
 174  0.000002563751 -44.523195143512 50.000000
 175  0.000002498189 -44.523802757992 50.000000
 176  0.000002433816 -44.524380272572 50.000000
 177  0.000002370668 -44.524928874468 50.000000
 178  0.000002308775 -44.525449741716 50.000000
 179  0.000002248162 -44.525944038148 50.000000
 180  0.000002188848 -44.526412909060 50.000000
 181  0.000002130848 -44.526857477534 50.000000
 182  0.000002074173 -44.527278841353 50.000000
 183  0.000002018830 -44.527678070458 50.000000
 184  0.000001964823 -44.528056204899 50.000000
 185  0.000001912151 -44.528414253220 50.000000
 186  0.000001860811 -44.528753191250 50.000000
 187  0.000001810798 -44.529073961234 50.000000
 188  0.000001762105 -44.529377471284 50.000000
 189  0.000001714720 -44.529664595096 50.000000
 190  0.000001668632 -44.529936171910 50.000000
 191  0.000001623826 -44.530193006665 50.000000
 192  0.000001580287 -44.530435870347 50.000000
 193  0.000001537999 -44.530665500468 50.000000
 194  0.000001496942 -44.530882601683 50.000000
 195  0.000001457098 -44.531087846509 50.000000
 196  0.000001418446 -44.531281876125 50.000000
 197  0.000001380965 -44.531465301246 50.000000
